mc,mc_onset,timesig,label,root,mc_onset_numeric,timesig_numeric,root_diff,progression_type_simple,annotation_dur,prog_weight,bigram_prog_weight,3-gram_progs,3-gram_weight
1,0,4/4,A.I[I{,3.0,0.0,1.0,,,1.5,,,,
2,1/2,4/4,viio64(2),8.0,0.5,1.0,5.0,A,0.25,1.75,,,
2,3/4,4/4,viio64,8.0,0.75,1.0,0.0,I,0.25,0.5,2.25,,
3,0,4/4,V43/IV,3.0,0.0,1.0,-5.0,A,0.25,0.5,1.0,"(5, 0, -5)",2.75
3,1/4,4/4,IV6(97),2.0,0.25,1.0,-1.0,S,0.125,0.375,0.875,"(0, -5, -1)",1.375
3,3/8,4/4,IV6,2.0,0.375,1.0,0.0,I,0.0625,0.1875,0.5625,"(-5, -1, 0)",1.0625
3,7/16,4/4,vii%7(+2),8.0,0.4375,1.0,6.0,S,0.0625,0.125,0.3125,"(-1, 0, 6)",0.6875
3,1/2,4/4,I(4),3.0,0.5,1.0,-5.0,A,0.25,0.3125,0.4375,"(0, 6, -5)",0.625
3,3/4,4/4,I,3.0,0.75,1.0,0.0,I,0.25,0.5,0.8125,"(6, -5, 0)",0.9375
4,0,4/4,V2/IV,3.0,0.0,1.0,0.0,I,0.25,0.5,1.0,"(-5, 0, 0)",1.3125
4,1/4,4/4,IV6(97),2.0,0.25,1.0,-1.0,S,0.125,0.375,0.875,"(0, 0, -1)",1.375
4,3/8,4/4,viio2,8.0,0.375,1.0,6.0,S,0.125,0.25,0.625,"(0, -1, 6)",1.125
4,1/2,4/4,I64(4),3.0,0.5,1.0,-5.0,A,0.25,0.375,0.625,"(-1, 6, -5)",1.0
4,3/4,4/4,I64]|IAC},3.0,0.75,1.0,0.0,I,0.25,0.5,0.875,"(6, -5, 0)",1.125
5,0,4/4,V7/V{,5.0,0.0,1.0,2.0,A,0.25,0.5,1.0,"(-5, 0, 2)",1.375
5,1/4,4/4,V6,4.0,0.25,1.0,-1.0,S,0.25,0.5,1.0,"(0, 2, -1)",1.5
5,1/2,4/4,ii7/V,6.0,0.5,1.0,2.0,A,0.375,0.625,1.125,"(2, -1, 2)",1.625
5,7/8,4/4,V43/V,5.0,0.875,1.0,-1.0,S,0.125,0.5,1.125,"(-1, 2, -1)",1.625
6,0,4/4,V(4),4.0,0.0,1.0,-1.0,S,0.25,0.375,0.875,"(2, -1, -1)",1.5
6,1/4,4/4,V,4.0,0.25,1.0,0.0,I,0.25,0.5,0.875,"(-1, -1, 0)",1.375
6,1/2,4/4,V7,4.0,0.5,1.0,0.0,I,0.25,0.5,1.0,"(-1, 0, 0)",1.375
6,3/4,4/4,I6,3.0,0.75,1.0,-1.0,S,0.125,0.375,0.875,"(0, 0, -1)",1.375
6,7/8,4/4,V64(4),4.0,0.875,1.0,1.0,W,0.0625,0.1875,0.5625,"(0, -1, 1)",1.0625
6,15/16,4/4,V64,4.0,0.9375,1.0,0.0,I,0.0625,0.125,0.3125,"(-1, 1, 0)",0.6875
7,0,4/4,I,3.0,0.0,1.0,-1.0,S,0.5,0.5625,0.6875,"(1, 0, -1)",0.875
7,1/2,4/4,V7/IV,3.0,0.5,1.0,0.0,I,0.25,0.75,1.3125,"(0, -1, 0)",1.4375
7,3/4,4/4,IV6,2.0,0.75,1.0,-1.0,S,0.125,0.375,1.125,"(-1, 0, -1)",1.6875
7,7/8,4/4,V64(4)/IV,3.0,0.875,1.0,1.0,W,0.0625,0.1875,0.5625,"(0, -1, 1)",1.3125
7,15/16,4/4,V64/IV,3.0,0.9375,1.0,0.0,I,0.0625,0.125,0.3125,"(-1, 1, 0)",0.6875
8,0,4/4,IV,2.0,0.0,1.0,-1.0,S,0.5,0.5625,0.6875,"(1, 0, -1)",0.875
8,1/2,4/4,V7,4.0,0.5,1.0,2.0,A,0.25,0.75,1.3125,"(0, -1, 2)",1.4375
8,3/4,4/4,I6,3.0,0.75,1.0,-1.0,S,0.125,0.375,1.125,"(-1, 2, -1)",1.6875
8,7/8,4/4,I,3.0,0.875,1.0,0.0,I,0.125,0.25,0.625,"(2, -1, 0)",1.375
9,0,4/4,V6,4.0,0.0,1.0,1.0,W,0.5,0.625,0.875,"(-1, 0, 1)",1.25
9,1/2,4/4,I(9),3.0,0.5,1.0,-1.0,S,0.125,0.625,1.25,"(0, 1, -1)",1.5
9,5/8,4/4,I,3.0,0.625,1.0,0.0,I,0.125,0.25,0.875,"(1, -1, 0)",1.5
9,3/4,4/4,V7,4.0,0.75,1.0,1.0,W,0.25,0.375,0.625,"(-1, 0, 1)",1.25
10,0,4/4,IM7,3.0,0.0,1.0,-1.0,S,0.25,0.5,0.875,"(0, 1, -1)",1.125
10,1/4,4/4,vi6,6.0,0.25,1.0,3.0,S,0.25,0.5,1.0,"(1, -1, 3)",1.375
10,1/2,4/4,V.V65/V,6.0,0.5,1.0,0.0,I,0.25,0.5,1.0,"(-1, 3, 0)",1.5
10,3/4,4/4,V7/V,6.0,0.75,1.0,0.0,I,0.25,0.5,1.0,"(3, 0, 0)",1.5
11,0,4/4,V|HC}{,5.0,0.0,1.0,-1.0,S,0.5,0.75,1.25,"(0, 0, -1)",1.75
11,1/2,4/4,V7,5.0,0.5,1.0,0.0,I,0.25,0.75,1.5,"(0, -1, 0)",2.0
11,3/4,4/4,V65/IV,4.0,0.75,1.0,-1.0,S,0.25,0.5,1.25,"(-1, 0, -1)",2.0
12,0,4/4,IV(9),3.0,0.0,1.0,-1.0,S,0.25,0.5,1.0,"(0, -1, -1)",1.75
12,1/4,4/4,ii,6.0,0.25,1.0,3.0,S,0.25,0.5,1.0,"(-1, -1, 3)",1.5
12,1/2,4/4,V65,5.0,0.5,1.0,-1.0,S,0.125,0.375,0.875,"(-1, 3, -1)",1.375
12,5/8,4/4,V7,5.0,0.625,1.0,0.0,I,0.125,0.25,0.625,"(3, -1, 0)",1.125
12,3/4,4/4,I,4.0,0.75,1.0,-1.0,S,0.25,0.375,0.625,"(-1, 0, -1)",1.0
13,0,4/4,IVM7,3.0,0.0,1.0,-1.0,S,0.25,0.5,0.875,"(0, -1, -1)",1.125
13,1/4,4/4,ii6,6.0,0.25,1.0,3.0,S,0.25,0.5,1.0,"(-1, -1, 3)",1.375
13,1/2,4/4,V65/V,6.0,0.5,1.0,0.0,I,0.25,0.5,1.0,"(-1, 3, 0)",1.5
13,3/4,4/4,V7/V,6.0,0.75,1.0,0.0,I,0.25,0.5,1.0,"(3, 0, 0)",1.5
14,0,4/4,V[V|HC}{,5.0,0.0,1.0,-1.0,S,0.5,0.75,1.25,"(0, 0, -1)",1.75
14,1/2,4/4,viio64(2)/V,10.0,0.5,1.0,5.0,A,0.25,0.75,1.5,"(0, -1, 5)",2.0
14,3/4,4/4,viio64/V,10.0,0.75,1.0,0.0,I,0.25,0.5,1.25,"(-1, 5, 0)",2.0
15,0,4/4,V43,5.0,0.0,1.0,-5.0,A,0.25,0.5,1.0,"(5, 0, -5)",1.75
15,1/4,4/4,I(974),4.0,0.25,1.0,-1.0,S,0.125,0.375,0.875,"(0, -5, -1)",1.375
15,3/8,4/4,I6,4.0,0.375,1.0,0.0,I,0.0625,0.1875,0.5625,"(-5, -1, 0)",1.0625
15,7/16,4/4,vii%7(+2)/V,10.0,0.4375,1.0,6.0,S,0.0625,0.125,0.3125,"(-1, 0, 6)",0.6875
15,1/2,4/4,V(4),5.0,0.5,1.0,-5.0,A,0.25,0.3125,0.4375,"(0, 6, -5)",0.625
15,3/4,4/4,V,5.0,0.75,1.0,0.0,I,0.25,0.5,0.8125,"(6, -5, 0)",0.9375
16,0,4/4,V7,5.0,0.0,1.0,0.0,I,0.25,0.5,1.0,"(-5, 0, 0)",1.3125
16,1/4,4/4,I6(97),4.0,0.25,1.0,-1.0,S,0.125,0.375,0.875,"(0, 0, -1)",1.375
16,3/8,4/4,viio2/V,10.0,0.375,1.0,6.0,S,0.125,0.25,0.625,"(0, -1, 6)",1.125
16,1/2,4/4,V64(4),5.0,0.5,1.0,-5.0,A,0.25,0.375,0.625,"(-1, 6, -5)",1.0
16,3/4,4/4,V43,5.0,0.75,1.0,0.0,I,0.125,0.375,0.75,"(6, -5, 0)",1.0
16,7/8,4/4,V2],5.0,0.875,1.0,0.0,I,0.125,0.25,0.625,"(-5, 0, 0)",1.0
17,0,4/4,I[I(4),4.0,0.0,1.0,-1.0,S,0.125,0.25,0.5,"(0, 0, -1)",0.875
17,1/8,4/4,V7/IV,4.0,0.125,1.0,0.0,I,0.125,0.25,0.5,"(0, -1, 0)",0.75
17,1/4,4/4,IV,3.0,0.25,1.0,-1.0,S,0.125,0.25,0.5,"(-1, 0, -1)",0.75
17,3/8,4/4,viio65,9.0,0.375,1.0,6.0,S,0.125,0.25,0.5,"(0, -1, 6)",0.75
17,1/2,4/4,I]|PAC},4.0,0.5,1.0,-5.0,A,2.0,2.125,2.375,"(-1, 6, -5)",2.625
19,1/2,4/4,V2/v,6.0,0.5,1.0,2.0,A,0.5,2.5,4.625,"(6, -5, 2)",4.875
20,0,4/4,i6(9#7)/v,5.0,0.0,1.0,-1.0,S,0.25,0.75,3.25,"(-5, 2, -1)",5.375
20,1/4,4/4,i6/v,5.0,0.25,1.0,0.0,I,0.25,0.5,1.25,"(2, -1, 0)",3.75
20,1/2,4/4,ii%7/v,7.0,0.5,1.0,2.0,A,0.25,0.5,1.0,"(-1, 0, 2)",1.75
20,3/4,4/4,V7/v,6.0,0.75,1.0,-1.0,S,0.25,0.5,1.0,"(0, 2, -1)",1.5
21,0,4/4,i/v|IAC}{,5.0,0.0,1.0,-1.0,S,0.375,0.625,1.125,"(2, -1, -1)",1.625
21,3/8,4/4,bII6/ii,1.0,0.375,1.0,-4.0,S,0.125,0.5,1.125,"(-1, -1, -4)",1.625
21,1/2,4/4,vi.V2,7.0,0.5,1.0,6.0,S,0.5,0.625,1.125,"(-1, -4, 6)",1.75
22,0,4/4,i6,6.0,0.0,1.0,-1.0,S,0.25,0.75,1.375,"(-4, 6, -1)",1.875
22,1/4,4/4,IV2,5.0,0.25,1.0,-1.0,S,0.25,0.5,1.25,"(6, -1, -1)",1.875
