mc,mc_onset,timesig,label,special,root,mc_onset_numeric,timesig_numeric,root_diff,progression_type_simple,annotation_dur,prog_weight,bigram_prog_weight,3-gram_progs,3-gram_weight
1,0,3/4,F.I,,-1.0,0.0,0.75,,,0.75,,,,
2,0,3/4,V,,0.0,0.0,0.75,1.0,W,0.75,1.5,,,
3,0,3/4,I,,-1.0,0.0,0.75,-1.0,S,0.75,1.5,3.0,,
4,0,3/4,IV6,,-2.0,0.0,0.75,-1.0,S,1.5,2.25,3.75,"(1, -1, -1)",5.25
6,0,3/4,V65,,0.0,0.0,0.75,2.0,A,0.75,2.25,4.5,"(-1, -1, 2)",6.0
7,0,3/4,I,,-1.0,0.0,0.75,-1.0,S,0.1875,0.9375,3.1875,"(-1, 2, -1)",5.4375
7,1/4,3/4,vi,,2.0,0.25,0.75,3.0,S,0.1875,0.375,1.3125,"(2, -1, 3)",3.5625
7,1/2,3/4,ii6,,1.0,0.5,0.75,-1.0,S,0.375,0.5625,0.9375,"(-1, 3, -1)",1.875
8,0,3/4,V(64),,0.0,0.0,0.75,-1.0,S,0.375,0.75,1.3125,"(3, -1, -1)",1.6875
8,1/2,3/4,V\\,,0.0,0.5,0.75,0.0,I,0.375,0.75,1.5,"(-1, -1, 0)",2.0625
9,0,3/4,I,,-1.0,0.0,0.75,-1.0,S,0.75,1.125,1.875,"(-1, 0, -1)",2.625
10,0,3/4,V,,0.0,0.0,0.75,1.0,W,0.75,1.5,2.625,"(0, -1, 1)",3.375
11,0,3/4,I,,-1.0,0.0,0.75,-1.0,S,0.75,1.5,3.0,"(-1, 1, -1)",4.125
12,0,3/4,IV6,,-2.0,0.0,0.75,-1.0,S,1.5,2.25,3.75,"(1, -1, -1)",5.25
14,0,3/4,#viio7(6)/vi,,7.0,0.0,0.75,9.0,A,0.375,1.875,4.125,"(-1, -1, 9)",5.625
14,1/2,3/4,#viio7/vi,,7.0,0.5,0.75,0.0,I,1.125,1.5,3.375,"(-1, 9, 0)",5.625
16,0,3/4,#viio7(4)/ii,,6.0,0.0,0.75,-1.0,S,0.375,1.5,3.0,"(9, 0, -1)",4.875
16,1/2,3/4,#viio7/ii,,6.0,0.5,0.75,0.0,I,1.125,1.5,3.0,"(0, -1, 0)",4.5
18,0,3/4,ii6(11#7b6),,1.0,0.0,0.75,-5.0,A,0.28125,1.40625,2.90625,"(-1, 0, -5)",4.40625
18,3/8,3/4,ii6,,1.0,0.375,0.75,0.0,I,0.46875,0.75,2.15625,"(0, -5, 0)",3.65625
19,0,3/4,V(64),,0.0,0.0,0.75,-1.0,S,0.375,0.84375,1.59375,"(-5, 0, -1)",3.0
19,1/2,3/4,V(6),,0.0,0.5,0.75,0.0,I,0.09375,0.46875,1.3125,"(0, -1, 0)",2.0625
19,5/8,3/4,V7,,0.0,0.625,0.75,0.0,I,0.28125,0.375,0.84375,"(-1, 0, 0)",1.6875
20,0,3/4,I\\,,-1.0,0.0,0.75,-1.0,S,0.75,1.03125,1.40625,"(0, 0, -1)",1.875
21,0,3/4,I,,-1.0,0.0,0.75,0.0,I,0.75,1.5,2.53125,"(0, -1, 0)",2.90625
22,0,3/4,viio7(b4)/V,,5.0,0.0,0.75,6.0,S,0.375,1.125,2.625,"(-1, 0, 6)",3.65625
22,1/2,3/4,viio7/V,,5.0,0.5,0.75,0.0,I,1.125,1.5,2.625,"(0, 6, 0)",4.125
24,0,3/4,V7(4),,0.0,0.0,0.75,-5.0,A,0.375,1.5,3.0,"(6, 0, -5)",4.125
24,1/2,3/4,V7,,0.0,0.5,0.75,0.0,I,1.125,1.5,3.0,"(0, -5, 0)",4.5
26,0,3/4,V7(4)/IV,,-1.0,0.0,0.75,-1.0,S,0.375,1.5,3.0,"(-5, 0, -1)",4.5
26,1/2,3/4,V7/IV,,-1.0,0.5,0.75,0.0,I,0.375,0.75,2.25,"(0, -1, 0)",3.75
27,0,3/4,ii6(9#4),,1.0,0.0,0.75,2.0,A,0.375,0.75,1.5,"(-1, 0, 2)",3.0
27,1/2,3/4,ii6,,1.0,0.5,0.75,0.0,I,0.375,0.75,1.5,"(0, 2, 0)",2.25
28,0,3/4,V7,,0.0,0.0,0.75,-1.0,S,0.75,1.125,1.875,"(2, 0, -1)",2.625
29,0,3/4,I\\,,-1.0,0.0,0.75,-1.0,S,0.75,1.5,2.625,"(0, -1, -1)",3.375
30,0,3/4,V[I6,,-1.0,0.0,0.75,0.0,I,0.75,1.5,3.0,"(-1, -1, 0)",4.125
31,0,3/4,V64,,0.0,0.0,0.75,1.0,W,0.28125,1.03125,2.53125,"(-1, 0, 1)",4.03125
31,3/8,3/4,V43,,0.0,0.375,0.75,0.0,I,1.21875,1.5,2.53125,"(0, 1, 0)",4.03125
33,0,3/4,I6(6),,-1.0,0.0,0.75,-1.0,S,0.28125,1.5,3.0,"(1, 0, -1)",4.03125
33,3/8,3/4,I6,,-1.0,0.375,0.75,0.0,I,1.21875,1.5,3.0,"(0, -1, 0)",4.5
35,0,3/4,V2(6),,0.0,0.0,0.75,1.0,W,0.28125,1.5,3.0,"(-1, 0, 1)",4.5
35,3/8,3/4,V2,,0.0,0.375,0.75,0.0,I,0.9375,1.21875,2.71875,"(0, 1, 0)",4.21875
36,5/8,3/4,V2],,0.0,0.625,0.75,0.0,I,0.28125,1.21875,2.4375,"(1, 0, 0)",3.9375
37,0,3/4,V65/vi,,3.0,0.0,0.75,3.0,S,0.75,1.03125,2.25,"(0, 0, 3)",3.46875
38,0,3/4,vi,,2.0,0.0,0.75,-1.0,S,0.75,1.5,2.53125,"(0, 3, -1)",3.75
39,0,3/4,V65/V,,1.0,0.0,0.75,-1.0,S,0.75,1.5,3.0,"(3, -1, -1)",4.03125
40,0,3/4,v.i,,0.0,0.0,0.75,-1.0,S,0.75,1.5,3.0,"(-1, -1, -1)",4.5
41,0,3/4,VI,,-4.0,0.0,0.75,-4.0,S,1.5,2.25,3.75,"(-1, -1, -4)",5.25
43,0,3/4,V43/VI,,-3.0,0.0,0.75,1.0,W,1.5,3.0,5.25,"(-1, -4, 1)",6.75
45,0,3/4,VI6(6),,-4.0,0.0,0.75,-1.0,S,0.28125,1.78125,4.78125,"(-4, 1, -1)",7.03125
45,3/8,3/4,VI6,,-4.0,0.375,0.75,0.0,I,0.46875,0.75,2.53125,"(1, -1, 0)",5.53125
46,0,3/4,viio65/VII,,3.0,0.0,0.75,7.0,I,0.75,1.21875,1.96875,"(-1, 0, 7)",3.75
47,0,3/4,#viio65,,5.0,0.0,0.75,2.0,A,0.75,1.5,2.71875,"(0, 7, 2)",3.46875
48,0,3/4,i6,,0.0,0.0,0.75,-5.0,A,0.1875,0.9375,2.4375,"(7, 2, -5)",3.65625
48,1/4,3/4,iio6,,2.0,0.25,0.75,2.0,A,0.1875,0.375,1.3125,"(2, -5, 2)",2.8125
48,1/2,3/4,viio7/V,,6.0,0.5,0.75,4.0,W,0.375,0.5625,0.9375,"(-5, 2, 4)",1.875
49,0,3/4,V,,1.0,0.0,0.75,-5.0,A,0.46875,0.84375,1.40625,"(2, 4, -5)",1.78125
49,5/8,3/4,V(64),,1.0,0.625,0.75,0.0,I,0.28125,0.75,1.59375,"(4, -5, 0)",2.15625
50,0,3/4,V,,1.0,0.0,0.75,0.0,I,0.46875,0.75,1.5,"(-5, 0, 0)",2.34375
50,5/8,3/4,V(64),,1.0,0.625,0.75,0.0,I,0.28125,0.75,1.5,"(0, 0, 0)",2.25
51,0,3/4,V,,1.0,0.0,0.75,0.0,I,0.46875,0.75,1.5,"(0, 0, 0)",2.25
51,5/8,3/4,V(64),,1.0,0.625,0.75,0.0,I,0.28125,0.75,1.5,"(0, 0, 0)",2.25
52,0,3/4,V,,1.0,0.0,0.75,0.0,I,0.46875,0.75,1.5,"(0, 0, 0)",2.25
52,5/8,3/4,V(64),,1.0,0.625,0.75,0.0,I,0.28125,0.75,1.5,"(0, 0, 0)",2.25
53,0,3/4,V,,1.0,0.0,0.75,0.0,I,0.421875,0.703125,1.453125,"(0, 0, 0)",2.203125
53,9/16,3/4,i,,0.0,0.5625,0.75,-1.0,S,0.328125,0.75,1.453125,"(0, 0, -1)",2.203125
54,0,3/4,V,,1.0,0.0,0.75,1.0,W,0.75,1.078125,1.828125,"(0, -1, 1)",2.53125
55,0,3/4,V\\,,1.0,0.0,0.75,0.0,I,0.28125,1.03125,2.109375,"(-1, 1, 0)",2.859375
55,3/8,3/4,V.V,,1.0,0.375,0.75,0.0,I,0.46875,0.75,1.78125,"(1, 0, 0)",2.859375
56,0,3/4,@none,,,0.0,0.75,,,0.75,1.21875,1.96875,,3.0
57,0,3/4,ii,,2.0,0.0,0.75,,,0.75,1.5,2.71875,,3.46875
58,0,3/4,V,,1.0,0.0,0.75,-1.0,S,0.375,1.125,2.625,,3.84375
58,1/2,3/4,V2,,1.0,0.5,0.75,0.0,I,0.375,0.75,1.875,,3.375
59,0,3/4,I6,,0.0,0.0,0.75,-1.0,S,0.1875,0.5625,1.3125,"(-1, 0, -1)",2.4375
59,1/4,3/4,viio6,,5.0,0.25,0.75,5.0,A,0.1875,0.375,0.9375,"(0, -1, 5)",1.6875
59,1/2,3/4,I,,0.0,0.5,0.75,-5.0,A,0.375,0.5625,0.9375,"(-1, 5, -5)",1.5
