mc	mc_onset	mc_onset_num	dur	annotation_dur	timesig	timesig_num	root	root_diff	prog_weight(dur)	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	bass_note
1	0	0.0000			04-Apr	1.00	1			1	1	g.i{	g	i		i	i						{	m	1	1	"1, -2, 2"		1
1	00-Jan	0.5000	0.5000	0.5000	04-Apr	1.00	6	5	0.7500	1	1	#viio6(2)	g	i		#viio6(2)	#vii	o	6	2				o	1	1	"3, 0, 1"		3
1	03-Apr	0.7500	0.2500	0.2500	04-Apr	1.00	2	-4	1.0000	1	1	V	g	i		V	V							M	1	1	"2, 6, 3"		2
2	1/2	0.5000	-0.2500	0.7500	04-Apr	1.00	1	-1	1.0000	1	1	i}	g	i		i	i						}	m	1	1	"1, -2, 2"		1
2	3/4	0.7500	0.2500	0.2500	04-Apr	1.00	-3	-4	0.5000	1	1	VI6	g	i		VI6	VI		6					M	1	1	"1, -2, -3"		1
3	0	0.0000	-0.7500	0.2500	04-Apr	1.00	2	5	0.5000	1	1	v6(2)	g	i		v6(2)	v		6	2				m	1	1	"-1, 3, -3"		-1
3	01-Apr	0.2500	0.2500	0.2500	04-Apr	1.00	2	0	0.2500	1	1	v6	g	i		v6	v		6					m	1	1	"-1, 3, 2"		-1
3	03-Aug				04-Apr	1.00	2			1	1	V	g	i		V	V							M	1	1	"2, 6, 3"		2
3	01-Feb				04-Apr	1.00	0			1	1	iv6(2)	g	i		iv6(2)	iv		6	2				m	1	1	"-3, 1, 2"		-3
3	15/16				04-Apr	1.00	0			1	1	iv6	g	i		iv6	iv		6					m	1	1	"-3, 1, 0"		-3
4	0				04-Apr	1.00	2			1	1	V(4)	g	i		V(4)	V			4				M	1	1	"2, 1, 3"		2
4	01-Aug				04-Apr	1.00	2			1	1	V	g	i		V	V							M	1	1	"2, 6, 3"		2
4	03-Aug				04-Apr	1.00	2			1	1	V7	g	i		V7	V		7					Mm7	1	1	"2, 6, 3, 0"		2
4	01-Feb				04-Apr	1.00	1			1	1	i	g	i		i	i							m	1	1	"1, -2, 2"		1
4	07-Aug				04-Apr	1.00	1			1	1	v.iv7	g	v		iv7	iv		7					mm7	1	1	"1, -2, 2, -1"		1
5	0				04-Apr	1.00	3			1	1	V6	g	v		V6	V		6					M	1	1	"7, 4, 3"		7
5	01-Apr				04-Apr	1.00	2			1	1	i	g	v		i	i							m	1	1	"2, -1, 3"		2
5	01-Feb				04-Apr	1.00	-3			1	1	bII6(2)	g	v		bII6(2)	bII		6	2				M	1	1	"1, -2, -1"		1
5	05-Aug				04-Apr	1.00	-3			1	1	bII6	g	v		bII6	bII		6					M	1	1	"1, -2, -3"		1
6	0				04-Apr		3			1	1	V2	g	v		V2	V		2					Mm7	1	1	"1, 3, 7, 4"		1
6	01-Apr				04-Apr		2			1	1	i6	g	v		i6	i		6					m	1	1	"-1, 3, 2"		-1
