mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	1	1	g.i{	g	i		i	i						{	m	1	1	1, -2, 2		1	1	4	9	0.3076923076923077	0.125	1.125	0.1
1	1	1/2	1/2	4/4	1	1	#viio6(2)	g	i		#viio6(2)	#vii	o	6	2				o	1	1	3, 0, 1		6	3	0	3	0.0	0.0	0.625	0.0
1	1	5/8	5/8	4/4	1	1	#viio6	g	i		#viio6	#vii	o	6					o	1	1	3, 0, 6		6	3	0	1	0.0	0.0	0.125	0.0
1	1	3/4	3/4	4/4	1	1	V	g	i		V	V							M	1	1	2, 6, 3		2	2	5	4	0.5555555555555556	0.125	0.125	0.5
2	2	0	0	4/4	1	1	V7	g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	2	11	0.15384615384615385	0.046875	0.703125	0.0625
2	2	1/2	1/2	4/4	1	1	i}	g	i		i	i						}	m	1	1	1, -2, 2		1	1	2	7	0.2222222222222222	0.03125	0.5625	0.05263157894736842
2	2	3/4	3/4	4/4	1	1	VI6	g	i		VI6	VI		6					M	1	1	1, -2, -3		-3	1	0	3	0.0	0.0	0.375	0.0
3	3	0	0	4/4	1	1	v6(2)	g	i		v6(2)	v		6	2				m	1	1	-1, 3, -3		2	-1	2	3	0.4	0.125	0.25	0.3333333333333333
3	3	1/4	1/4	4/4	1	1	v6	g	i		v6	v		6					m	1	1	-1, 3, 2		2	-1	0	1	0.0	0.0	0.125	0.0
3	3	3/8	3/8	4/4	1	1	V	g	i		V	V							M	1	1	2, 6, 3		2	2	1	3	0.25	0.0625	0.3125	0.16666666666666666
3	3	1/2	1/2	4/4	1	1	iv6(2)	g	i		iv6(2)	iv		6	2				m	1	1	-3, 1, 2		0	-3	7	10	0.4117647058823529	0.171875	0.515625	0.25
3	3	15/16	15/16	4/4	1	1	iv6	g	i		iv6	iv		6					m	1	1	-3, 1, 0		0	-3	2	3	0.4	0.0234375	0.0390625	0.375
4	4	0	0	4/4	1	1	V(4)	g	i		V(4)	V			4				M	1	1	2, 1, 3		2	2	0	3	0.0	0.0	0.625	0.0
4	4	1/8	1/8	4/4	1	1	V	g	i		V	V							M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
4	4	3/8	3/8	4/4	1	1	V7	g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	2	0.0	0.0	0.25	0.0
4	4	1/2	1/2	4/4	1	1	i	g	i		i	i							m	1	1	1, -2, 2		1	1	2	5	0.2857142857142857	0.125	0.375	0.25
4	4	7/8	7/8	4/4	1	1	v.iv7	g	v		iv7	iv		7					mm7	1	1	1, -2, 2, -1		1	1	0	3	0.0	0.0	0.375	0.0
5	5	0	0	4/4	1	1	V6	g	v		V6	V		6					M	1	1	7, 4, 3		3	7	3	5	0.375	0.140625	0.359375	0.28125
5	5	1/4	1/4	4/4	1	1	i	g	v		i	i							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	0.375	0.0
5	5	1/2	1/2	4/4	1	1	bII6(2)	g	v		bII6(2)	bII		6	2				M	1	1	1, -2, -1		-3	1	1	3	0.25	0.0625	0.1875	0.25
5	5	5/8	5/8	4/4	1	1	bII6	g	v		bII6	bII		6					M	1	1	1, -2, -3		-3	1	0	7	0.0	0.0	0.5	0.0
6	6	0	0	4/4	1	1	V2	g	v		V2	V		2					Mm7	1	1	1, 3, 7, 4		3	1	1	3	0.25	0.0625	0.3125	0.16666666666666666
6	6	1/4	1/4	4/4	1	1	i6	g	v		i6	i		6					m	1	1	-1, 3, 2		2	-1	2	4	0.3333333333333333	0.0625	0.1875	0.25
6	6	1/2	1/2	4/4	1	1	#viio6(2)	g	v		#viio6(2)	#vii	o	6	2				o	1	1	4, 1, 2		7	4	0	4	0.0	0.0	0.25	0.0
6	6	3/4	3/4	4/4	1	1	V43	g	v		V43	V		43					Mm7	1	1	4, 1, 3, 7		3	4	1	3	0.25	0.0625	0.1875	0.25
7	7	0	0	4/4	1	1	i(4)	g	v		i(4)	i			4				m	1	1	2, 1, 3		2	2	2	3	0.4	0.09375	0.15625	0.375
7	7	1/4	1/4	4/4	1	1	i	g	v		i	i							m	1	1	2, -1, 3		2	2	0	1	0.0	0.0	0.125	0.0
7	7	3/8	3/8	4/4	1	1	v6	g	v		v6	v		6					m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
7	7	1/2	1/2	4/4	1	1	iv6(2)	g	v		iv6(2)	iv		6	2				m	1	1	-2, 2, 3		1	-2	0	3	0.0	0.0	0.25	0.0
7	7	5/8	5/8	4/4	1	1	iv6	g	v		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	1	1	0.5	0.0625	0.0625	0.5
7	7	3/4	3/4	4/4	1	1	iio64	g	v		iio64	ii	o	64					o	1	1	-2, 4, 1		4	-2	3	6	0.3333333333333333	0.046875	0.203125	0.1875
8	8	0	0	4/4	1	1	V7(4)	g	v		V7(4)	V		7	4				Mm7	1	1	3, 2, 4, 1		3	3	0	3	0.0	0.0	0.625	0.0
8	8	1/8	1/8	4/4	1	1	V7	g	v		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	0	1	0.0	0.0	0.125	0.0
8	8	1/4	1/4	4/4	1	1	V(64)	g	v		V(64)	V			64				M	1	1	3, 2, -1		3	3	3	3	0.5	0.0625	0.1875	0.25
8	8	1/2	1/2	4/4	1	1	V(4)	g	v		V(4)	V			4				M	1	1	3, 2, 4		3	3	5	6	0.45454545454545453	0.125	0.375	0.25
