mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	F.I{				F	I		I	I						{	M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
1	1	1/2	1/2	4/4	2	1	V7(+2)	0	-4.5	/	F	I		V7(+2)	V		7	+2				Mm7	0	0	0, 4, 1, -2	2	0	0	5	26	0.16129032258064516	0.3125	6.4375	0.046296296296296294
3	3	0	0	4/4	2	1	I(+2)				F	I		I(+2)	I			+2				M	0	0	-1, 3, 0	1	-1	-1	0	9	0.0	0.0	3.0	0.0
3	3	1/2	1/2	4/4	2	1	IV(+6)				F	I		IV(+6)	IV			+6				M	0	0	-2, 2, -1	1	-2	-2	3	8	0.2727272727272727	0.1875	1.8125	0.09375
4	4	0	0	4/4	2	1	iii65				F	I		iii65	iii		65					mm7	0	0	0, 4, 1, 3		3	0	1	7	0.125	0.0625	2.4375	0.025
4	4	1/2	1/2	4/4	2	1	ii43				F	I		ii43	ii		43					mm7	0	0	2, -1, 1, -2		1	2	2	8	0.2	0.125	1.375	0.08333333333333333
5	5	0	0	4/4	2	1	IV				F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	8	0.0	0.0	1.25	0.0
5	5	1/4	1/4	4/4	2	1	IVM7	0	-5.5	/	F	I		IVM7	IV	M	7					MM7	0	0	-2, 2, -1, 3		-2	-2	0	4	0.0	0.0	1.5	0.0
5	5	1/2	1/2	4/4	2	1	V2	0	-5.5	/	F	I		V2	V		2					Mm7	0	0	-2, 0, 4, 1		0	-2	3	5	0.375	0.375	1.125	0.25
6	6	0	0	4/4	2	1	I6(2)	0	-5.4	/	F	I		I6(2)	I		6	2				M	0	0	3, 0, 1		-1	3	4	6	0.4	0.25	1.0	0.2
6	6	1/4	1/4	4/4	2	1	vi43	0	-4.5	/	F	I		vi43	vi		43					mm7	0	0	3, 0, 2, -1		2	3	1	4	0.2	0.0625	0.6875	0.08333333333333333
6	6	1/2	1/2	4/4	2	1	ii7	0	-4.5	/	F	I		ii7	ii		7					mm7	0	0	1, -2, 2, -1		1	1	0	4	0.0	0.0	1.0	0.0
6	6	5/8	5/8	4/4	2	1	viio6	0	-4.5	/	F	I		viio6	vii	o	6					o	0	0	1, -2, 4		4	1	0	2	0.0	0.0	0.25	0.0
6	6	3/4	3/4	4/4	2	1	V7(42)	0	-4.5	/	F	I		V7(42)	V		7	42				Mm7	0	0	2, -1, 1, -2		0	2	2	2	0.5	0.5	0.25	0.6666666666666666
6	6	7/8	7/8	4/4	2	1	V7	0	-4.5	/	F	I		V7	V		7					Mm7	0	0	0, 4, 1, -2		0	0	0	2	0.0	0.0	0.25	0.0
7	7	0	0	4/4	2	1	I|IAC}{				F	I		I	I					IAC	}{	M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
7	7	1/2	1/2	4/4	2	1	V7(+2)	0	-4.5	/	F	I		V7(+2)	V		7	+2				Mm7	0	0	0, 4, 1, -2	2	0	0	5	26	0.16129032258064516	0.3125	6.4375	0.046296296296296294
9	9	0	0	4/4	2	1	vii%7(2)/IV				F	I		vii%7(2)/IV	vii	%	7	2	IV			%7	0	0	-2, 0, -3, 1		3	-2	2	6	0.25	0.125	2.875	0.041666666666666664
9	9	1/2	1/2	4/4	2	1	vii%7/IV				F	I		vii%7/IV	vii	%	7		IV			%7	0	0	3, 0, -3, 1		3	3	2	7	0.2222222222222222	0.125	0.875	0.125
10	10	0	0	4/4	2	1	IVM7/IV				F	I		IVM7/IV	IV	M	7		IV			MM7	0	0	-3, 1, -2, 2		-3	-3	2	6	0.25	0.125	1.875	0.0625
10	10	1/2	1/2	4/4	2	1	V7(+2)/IV				F	I		V7(+2)/IV	V		7	+2	IV			Mm7	0	0	-1, 3, 0, -3	1	-1	-1	1	11	0.08333333333333333	0.0625	2.4375	0.025
11	11	0	0	4/4	2	1	IV				F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	5	14	0.2631578947368421	0.3125	2.0625	0.13157894736842105
11	11	3/4	3/4	4/4	2	1	V6				F	I		V6	V		6					M	0	0	4, 1, 0		0	4	4	8	0.3333333333333333	0.25	0.75	0.25
12	12	0	0	4/4	2	1	IV6				F	I		IV6	IV		6					M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.5	0.0
12	12	1/8	1/8	4/4	2	1	V				F	I		V	V							M	0	0	0, 4, 1		0	0	0	8	0.0	0.0	1.0	0.0
12	12	3/8	3/8	4/4	2	1	IV				F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	0.5	0.0
12	12	1/2	1/2	4/4	2	1	iii				F	I		iii	iii							m	0	0	3, 0, 4		3	3	0	6	0.0	0.0	0.75	0.0
12	12	5/8	5/8	4/4	2	1	ii				F	I		ii	ii							m	0	0	1, -2, 2		1	1	0	12	0.0	0.0	1.5	0.0
12	12	7/8	7/8	4/4	2	1	I+	-0.193966	-2.90302	/	F	I		I+	I	+						+	0	0	-1, 3, 7		-1	-1	0	6	0.0	0.0	0.75	0.0
13	13	0	0	4/4	2	1	IV				F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	5	14	0.2631578947368421	0.3125	2.0625	0.13157894736842105
13	13	3/4	3/4	4/4	2	1	V6				F	I		V6	V		6					M	0	0	4, 1, 0		0	4	4	8	0.3333333333333333	0.25	0.75	0.25
