composer,piece,n,S,A,W
Bach,BWV806_01_Prelude_reviewed,149,0.5436241610738255,0.2751677852348993,0.18120805369127516
Bach,BWV806_02_Allemande_reviewed,103,0.6990291262135923,0.2524271844660194,0.04854368932038835
Bach,BWV806_03_Courante_I_reviewed,78,0.6153846153846154,0.24358974358974358,0.14102564102564102
Bach,BWV806_04_Courante_II_reviewed,80,0.55,0.35,0.1
Bach,BWV806_05_Double_I_reviewed,85,0.5176470588235295,0.3411764705882353,0.1411764705882353
Bach,BWV806_06_Double_II_reviewed,82,0.6463414634146342,0.21951219512195122,0.13414634146341464
Bach,BWV806_07_Sarabande_reviewed,53,0.6792452830188679,0.20754716981132076,0.11320754716981132
Bach,BWV806_08_Bouree_I_reviewed,115,0.5739130434782609,0.2,0.22608695652173913
Bach,BWV806_09_Bouree_II_reviewed,93,0.3978494623655914,0.3548387096774194,0.24731182795698925
Bach,BWV806_10_Gigue_reviewed,104,0.7211538461538461,0.16346153846153846,0.11538461538461539
Bach,BWV807_01_Prelude_reviewed,513,0.5009746588693957,0.34307992202729043,0.15594541910331383
Bach,BWV807_02_Allemande_reviewed,104,0.5769230769230769,0.27884615384615385,0.14423076923076922
Bach,BWV807_03_Courante_reviewed,84,0.5476190476190477,0.2857142857142857,0.16666666666666666
Bach,BWV807_04a_Agrements_de_la_Sarabande_reviewed,54,0.46296296296296297,0.3333333333333333,0.2037037037037037
Bach,BWV807_04_Sarabande_reviewed,53,0.33962264150943394,0.4339622641509434,0.22641509433962265
Bach,BWV807_05_Bourree_I_reviewed,98,0.6428571428571429,0.17346938775510204,0.1836734693877551
Bach,BWV807_06_Bourree_II_reviewed,49,0.6122448979591837,0.1836734693877551,0.20408163265306123
Bach,BWV807_07_Gigue_reviewed,117,0.7094017094017094,0.1623931623931624,0.1282051282051282
Bach,BWV808_01_Prelude_reviewed,274,0.6313868613138686,0.25547445255474455,0.11313868613138686
Bach,BWV808_02_Allemande_reviewed,101,0.6336633663366337,0.24752475247524752,0.1188118811881188
Bach,BWV808_03_Courante_reviewed,117,0.6410256410256411,0.20512820512820512,0.15384615384615385
Bach,BWV808_04a_Agrements_de_la_Sarabande_reviewed,29,0.5517241379310345,0.27586206896551724,0.1724137931034483
Bach,BWV808_04_Sarabande_reviewed,29,0.5517241379310345,0.27586206896551724,0.1724137931034483
Bach,BWV808_05_Gavotte_I_reviewed,80,0.425,0.425,0.15
Bach,BWV808_06_Gavotte_II_reviewed,48,0.1875,0.625,0.1875
Bach,BWV808_07_Gigue_reviewed,182,0.38461538461538464,0.4725274725274725,0.14285714285714285
Bach,BWV809_01_Prelude_reviewed,428,0.616822429906542,0.2803738317757009,0.102803738317757
Bach,BWV809_02_Allemande_reviewed,78,0.6794871794871795,0.28205128205128205,0.038461538461538464
Bach,BWV809_03_Courante_reviewed,50,0.62,0.24,0.14
Bach,BWV809_04_Sarabande_reviewed,43,0.627906976744186,0.2558139534883721,0.11627906976744186
Bach,BWV809_05_Menuett_I_reviewed,59,0.5254237288135594,0.3050847457627119,0.1694915254237288
Bach,BWV809_06_Menuett_II_reviewed,59,0.6779661016949152,0.2033898305084746,0.11864406779661017
Bach,BWV809_07_Gigue_reviewed,137,0.5985401459854015,0.2116788321167883,0.1897810218978102
Bach,BWV810_01_Prelude_reviewed,358,0.7793296089385475,0.1452513966480447,0.07541899441340782
Bach,BWV810_02_Allemande_reviewed,104,0.5961538461538461,0.3076923076923077,0.09615384615384616
Bach,BWV810_03_Courante_reviewed,64,0.578125,0.328125,0.09375
Bach,BWV810_04_Sarabande_reviewed,78,0.3974358974358974,0.3974358974358974,0.20512820512820512
Bach,BWV810_05_Passepied_I_reviewed,170,0.6176470588235294,0.2235294117647059,0.1588235294117647
Bach,BWV810_06_Passepied_II_reviewed,55,0.4,0.43636363636363634,0.16363636363636364
Bach,BWV810_07_Gigue_reviewed,169,0.5207100591715976,0.3076923076923077,0.17159763313609466
Bach,BWV811_01_Prelude_reviewed,529,0.6238185255198487,0.2722117202268431,0.10396975425330812
Bach,BWV811_02_Allemande_reviewed,80,0.625,0.275,0.1
Bach,BWV811_03_Courante_reviewed,119,0.5714285714285714,0.2773109243697479,0.15126050420168066
Bach,BWV811_04_Sarabande_reviewed,47,0.5957446808510638,0.2553191489361702,0.14893617021276595
Bach,BWV811_05_Double_reviewed,47,0.7021276595744681,0.2127659574468085,0.0851063829787234
Bach,BWV811_06_Gavotte_I_reviewed,77,0.6493506493506493,0.2077922077922078,0.14285714285714285
Bach,BWV811_07_Gavotte_II_reviewed,60,0.31666666666666665,0.4166666666666667,0.26666666666666666
Bach,BWV811_08_Gigue_reviewed,202,0.33663366336633666,0.48514851485148514,0.1782178217821782
Bach,BWV812_01_Allemande_reviewed,104,0.7596153846153846,0.18269230769230768,0.057692307692307696
Bach,BWV812_02_Courante_reviewed,70,0.7285714285714285,0.2,0.07142857142857142
Bach,BWV812_03_Sarabande_reviewed,47,0.5531914893617021,0.2553191489361702,0.19148936170212766
Bach,BWV812_04_Menuett_I_reviewed,49,0.5306122448979592,0.3673469387755102,0.10204081632653061
Bach,BWV812_05_Menuett_II_reviewed,45,0.8222222222222222,0.13333333333333333,0.044444444444444446
Bach,BWV812_06_Gigue_reviewed,91,0.6813186813186813,0.21978021978021978,0.0989010989010989
Bach,BWV813_01_Allemande_reviewed,78,0.6282051282051282,0.16666666666666666,0.20512820512820512
Bach,BWV813_02_Courante_reviewed,132,0.5151515151515151,0.3333333333333333,0.15151515151515152
Bach,BWV813_03_Sarabande_reviewed,68,0.5,0.38235294117647056,0.11764705882352941
Bach,BWV813_04_Air_reviewed,79,0.43037974683544306,0.31645569620253167,0.25316455696202533
Bach,BWV813_05_Menuett_reviewed,56,0.5178571428571429,0.3392857142857143,0.14285714285714285
Bach,BWV813_06_Gigue_reviewed,94,0.6702127659574468,0.18085106382978725,0.14893617021276595
Bach,BWV814_01_Allemande_reviewed,125,0.456,0.36,0.184
Bach,BWV814_02_Courante_reviewed,81,0.5308641975308642,0.2962962962962963,0.1728395061728395
Bach,BWV814_03_Sarabande_reviewed,58,0.3448275862068966,0.603448275862069,0.05172413793103448
Bach,BWV814_04_Gavotte_reviewed,77,0.4675324675324675,0.33766233766233766,0.19480519480519481
Bach,BWV814_05_Menuett_reviewed,63,0.6031746031746031,0.12698412698412698,0.2698412698412698
Bach,BWV814_06_Trio_reviewed,51,0.4117647058823529,0.49019607843137253,0.09803921568627451
Bach,BWV814_07_Gigue_reviewed,133,0.45864661654135336,0.37593984962406013,0.16541353383458646
Bach,BWV815_01_Allemande_reviewed,75,0.7066666666666667,0.12,0.17333333333333334
Bach,BWV815_02_Courante_reviewed,57,0.5614035087719298,0.2631578947368421,0.17543859649122806
Bach,BWV815_03_Sarabande_reviewed,43,0.6976744186046512,0.18604651162790697,0.11627906976744186
Bach,BWV815_04_Gavotte_reviewed,70,0.6571428571428571,0.17142857142857143,0.17142857142857143
Bach,BWV815_05_Air_reviewed,62,0.6290322580645161,0.25806451612903225,0.11290322580645161
Bach,BWV815_06_Menuett_reviewed,34,0.4117647058823529,0.38235294117647056,0.20588235294117646
Bach,BWV815_07_Gigue_reviewed,88,0.5454545454545454,0.26136363636363635,0.19318181818181818
Bach,BWV816_01_Allemande_reviewed,100,0.75,0.19,0.06
Bach,BWV816_02_Courante_reviewed,55,0.5818181818181818,0.3090909090909091,0.10909090909090909
Bach,BWV816_03_Sarabande_reviewed,67,0.6119402985074627,0.3283582089552239,0.05970149253731343
Bach,BWV816_04_Gavotte_reviewed,40,0.6,0.1,0.3
Bach,BWV816_05_Bourree_reviewed,58,0.6896551724137931,0.20689655172413793,0.10344827586206896
Bach,BWV816_06_Loure_reviewed,43,0.7209302325581395,0.2558139534883721,0.023255813953488372
Bach,BWV816_07_Gigue_reviewed,127,0.8110236220472441,0.08661417322834646,0.10236220472440945
Bach,BWV817_01_Allemande_reviewed,71,0.7183098591549296,0.2676056338028169,0.014084507042253521
Bach,BWV817_02_Courante_reviewed,66,0.7424242424242424,0.13636363636363635,0.12121212121212122
Bach,BWV817_03_Sarabande_reviewed,48,0.5625,0.2708333333333333,0.16666666666666666
Bach,BWV817_04_Gavotte_reviewed,40,0.575,0.25,0.175
Bach,BWV817_05_Polonaise_reviewed,49,0.5918367346938775,0.24489795918367346,0.16326530612244897
Bach,BWV817_06_Bourree_reviewed,73,0.726027397260274,0.136986301369863,0.136986301369863
Bach,BWV817_07_Gigue_reviewed,94,0.7021276595744681,0.19148936170212766,0.10638297872340426
Bach,BWV817_08_Menuett_reviewed,28,0.4642857142857143,0.32142857142857145,0.21428571428571427
Bach,BWV1001_01_Adagio_reviewed,60,0.5333333333333333,0.38333333333333336,0.08333333333333333
Bach,BWV1001_02_Fuga_reviewed,232,0.4525862068965517,0.4353448275862069,0.11206896551724138
Bach,BWV1001_03_Siciliano_reviewed,84,0.4880952380952381,0.35714285714285715,0.15476190476190477
