composer,piece,n,S,A,W,I
Bach,BWV806_01_Prelude_reviewed,190,81,41,27,41
Bach,BWV806_02_Allemande_reviewed,143,72,26,5,40
Bach,BWV806_03_Courante_I_reviewed,90,48,19,11,12
Bach,BWV806_04_Courante_II_reviewed,103,44,28,8,23
Bach,BWV806_05_Double_I_reviewed,100,44,29,12,15
Bach,BWV806_06_Double_II_reviewed,99,53,18,11,17
Bach,BWV806_07_Sarabande_reviewed,71,36,11,6,18
Bach,BWV806_08_Bouree_I_reviewed,144,66,23,26,29
Bach,BWV806_09_Bouree_II_reviewed,123,37,33,23,30
Bach,BWV806_10_Gigue_reviewed,121,75,17,12,17
Bach,BWV807_01_Prelude_reviewed,563,257,176,80,50
Bach,BWV807_02_Allemande_reviewed,124,60,29,15,20
Bach,BWV807_03_Courante_reviewed,107,46,24,14,23
Bach,BWV807_04a_Agrements_de_la_Sarabande_reviewed,77,25,18,11,23
Bach,BWV807_04_Sarabande_reviewed,75,18,23,12,22
Bach,BWV807_05_Bourree_I_reviewed,162,63,17,18,64
Bach,BWV807_06_Bourree_II_reviewed,68,30,9,10,19
Bach,BWV807_07_Gigue_reviewed,144,83,19,15,27
Bach,BWV808_01_Prelude_reviewed,357,173,70,31,83
Bach,BWV808_02_Allemande_reviewed,120,64,25,12,19
Bach,BWV808_03_Courante_reviewed,152,75,24,18,35
Bach,BWV808_04a_Agrements_de_la_Sarabande_reviewed,49,16,8,5,20
Bach,BWV808_04_Sarabande_reviewed,42,16,8,5,13
Bach,BWV808_05_Gavotte_I_reviewed,105,34,34,12,25
Bach,BWV808_06_Gavotte_II_reviewed,54,9,30,9,6
Bach,BWV808_07_Gigue_reviewed,207,70,86,26,25
Bach,BWV809_01_Prelude_reviewed,492,264,120,44,64
Bach,BWV809_02_Allemande_reviewed,92,53,22,3,14
Bach,BWV809_03_Courante_reviewed,65,31,12,7,15
Bach,BWV809_04_Sarabande_reviewed,58,27,11,5,15
Bach,BWV809_05_Menuett_I_reviewed,81,31,18,10,22
Bach,BWV809_06_Menuett_II_reviewed,73,40,12,7,14
Bach,BWV809_07_Gigue_reviewed,193,82,29,26,56
Bach,BWV810_01_Prelude_reviewed,414,279,52,27,56
Bach,BWV810_02_Allemande_reviewed,128,62,32,10,24
Bach,BWV810_03_Courante_reviewed,83,37,21,6,19
Bach,BWV810_04_Sarabande_reviewed,99,31,31,16,21
Bach,BWV810_05_Passepied_I_reviewed,215,105,38,27,45
Bach,BWV810_06_Passepied_II_reviewed,64,22,24,9,9
Bach,BWV810_07_Gigue_reviewed,198,88,52,29,29
Bach,BWV811_01_Prelude_reviewed,609,330,144,55,80
Bach,BWV811_02_Allemande_reviewed,110,50,22,8,30
Bach,BWV811_03_Courante_reviewed,131,68,33,18,12
Bach,BWV811_04_Sarabande_reviewed,58,28,12,7,11
Bach,BWV811_05_Double_reviewed,62,33,10,4,15
Bach,BWV811_06_Gavotte_I_reviewed,99,50,16,11,22
Bach,BWV811_07_Gavotte_II_reviewed,75,19,25,16,15
Bach,BWV811_08_Gigue_reviewed,238,68,98,36,36
Bach,BWV812_01_Allemande_reviewed,130,79,19,6,26
Bach,BWV812_02_Courante_reviewed,95,51,14,5,25
Bach,BWV812_03_Sarabande_reviewed,77,26,12,9,30
Bach,BWV812_04_Menuett_I_reviewed,56,26,18,5,7
Bach,BWV812_05_Menuett_II_reviewed,64,37,6,2,19
Bach,BWV812_06_Gigue_reviewed,124,62,20,9,33
Bach,BWV813_01_Allemande_reviewed,121,49,13,16,43
Bach,BWV813_02_Courante_reviewed,166,68,44,20,34
Bach,BWV813_03_Sarabande_reviewed,100,34,26,8,32
Bach,BWV813_04_Air_reviewed,103,34,25,20,24
Bach,BWV813_05_Menuett_reviewed,72,29,19,8,16
Bach,BWV813_06_Gigue_reviewed,135,63,17,14,41
Bach,BWV814_01_Allemande_reviewed,155,57,45,23,30
Bach,BWV814_02_Courante_reviewed,106,43,24,14,25
Bach,BWV814_03_Sarabande_reviewed,82,20,35,3,24
Bach,BWV814_04_Gavotte_reviewed,97,36,26,15,20
Bach,BWV814_05_Menuett_reviewed,92,38,8,17,29
Bach,BWV814_06_Trio_reviewed,61,21,25,5,10
Bach,BWV814_07_Gigue_reviewed,151,61,50,22,18
Bach,BWV815_01_Allemande_reviewed,102,53,9,13,27
Bach,BWV815_02_Courante_reviewed,86,32,15,10,29
Bach,BWV815_03_Sarabande_reviewed,61,30,8,5,18
Bach,BWV815_04_Gavotte_reviewed,84,46,12,12,14
Bach,BWV815_05_Air_reviewed,77,39,16,7,15
Bach,BWV815_06_Menuett_reviewed,43,14,13,7,9
Bach,BWV815_07_Gigue_reviewed,105,48,23,17,17
Bach,BWV816_01_Allemande_reviewed,141,75,19,6,41
Bach,BWV816_02_Courante_reviewed,82,32,17,6,27
Bach,BWV816_03_Sarabande_reviewed,103,41,22,4,36
Bach,BWV816_04_Gavotte_reviewed,66,24,4,12,26
Bach,BWV816_05_Bourree_reviewed,74,40,12,6,16
Bach,BWV816_06_Loure_reviewed,63,31,11,1,20
Bach,BWV816_07_Gigue_reviewed,157,103,11,13,30
Bach,BWV817_01_Allemande_reviewed,100,51,19,1,29
Bach,BWV817_02_Courante_reviewed,92,49,9,8,26
Bach,BWV817_03_Sarabande_reviewed,62,27,13,8,14
Bach,BWV817_04_Gavotte_reviewed,57,23,10,7,17
Bach,BWV817_05_Polonaise_reviewed,66,29,12,8,17
Bach,BWV817_06_Bourree_reviewed,120,53,10,10,47
Bach,BWV817_07_Gigue_reviewed,115,66,18,10,21
Bach,BWV817_08_Menuett_reviewed,46,13,9,6,18
Bach,BWV1001_01_Adagio_reviewed,92,32,23,5,32
Bach,BWV1001_02_Fuga_reviewed,317,105,101,26,85
Bach,BWV1001_03_Siciliano_reviewed,111,41,30,13,27
Bach,BWV1001_04_Presto_reviewed,211,102,42,27,40
Bach,BWV1002_01_Allemanda_reviewed,96,51,19,12,14
Bach,BWV1002_02_Double_reviewed,86,40,26,12,8
Bach,BWV1002_03_Corrente_reviewed,108,51,39,15,3
Bach,BWV1002_04_Double_reviewed,120,51,35,25,9
Bach,BWV1002_05_Sarabande_reviewed,66,31,25,6,4
Bach,BWV1002_06_Double_reviewed,54,22,25,2,5
Bach,BWV1002_07_TempoDiBorea_reviewed,95,36,28,14,17
Bach,BWV1002_08_Double_reviewed,100,36,30,20,14
Bach,BWV1003_01_Grave_reviewed,87,31,28,17,11
Bach,BWV1003_02_Fuga_reviewed,478,163,171,72,72
Bach,BWV1003_03_Andante_reviewed,77,33,16,6,22
Bach,BWV1003_04_Allegro_reviewed,204,95,71,18,20
Bach,BWV1004_01_Allemande_reviewed,91,37,40,8,6
Bach,BWV1004_02_Courante_reviewed,72,34,23,13,2
Bach,BWV1005_02_Fuga_reviewed,737,285,226,73,153
Bach,BWV1006_04_Menuett_reviewed,121,52,24,22,23
Bach,BWV1006_05_Bourée_reviewed,52,21,13,10,8
Bach,BWV1006_06_Gigue_reviewed,48,28,5,9,6
Bach,BWV1007_01_Prelude_reviewed,53,21,12,11,9
Bach,BWV1007_02_Allemande_reviewed,71,39,13,6,13
Bach,BWV1007_03_Courante_reviewed,62,38,8,14,2
Bach,BWV1007_04_Sarabande_reviewed,41,17,9,6,9
Bach,BWV1007_05_MenuetI_reviewed,32,15,8,7,2
Bach,BWV1007_06_MenuetII_reviewed,32,15,11,2,4
Bach,BWV1007_07_Gique_reviewed,57,21,13,15,8
Bach,BWV1008_01_Prelude_reviewed,90,43,26,9,12
Bach,BWV1008_02_Allemande_reviewed,69,33,20,9,7
Bach,BWV1008_03_Courante_reviewed,49,23,12,7,7
Bach,BWV1008_04_Sarabande_reviewed,50,18,14,7,11
Bach,BWV1008_05_MenuetI_reviewed,41,19,15,1,6
Bach,BWV1008_06_MenuetII_reviewed,30,11,7,5,7
Bach,BWV1008_07_Gique_reviewed,90,35,35,13,7
Bach,BWV1009_01_Prelude_reviewed,107,53,16,10,28
Bach,BWV1009_02_Allemande_reviewed,103,46,35,15,7
Bach,BWV1009_03_Courante_reviewed,80,33,23,12,12
Bach,BWV1009_04_Sarabande_reviewed,53,17,16,4,16
Bach,BWV1009_05_BourréeI_reviewed,60,20,5,19,16
Bach,BWV1009_06_BourréeII_reviewed,33,14,9,7,3
Bach,BWV1009_07_Gique_reviewed,108,46,30,13,19
Bach,BWV1010_01_Prelude_reviewed,73,30,15,11,17
Bach,BWV1010_02_Allemande_reviewed,92,51,25,9,7
Bach,BWV1010_03_Courante_reviewed,102,58,20,10,14
Bach,BWV1010_04_Sarabande_reviewed,63,26,15,2,20
Bach,BWV1010_05_BourreeI_reviewed,73,29,19,20,5
Bach,BWV1010_06_BourreeII_reviewed,26,14,5,4,3
Bach,BWV1010_07_Gique_reviewed,76,44,7,19,6
Bach,BWV1011_01_Prelude_reviewed,321,116,127,36,42
Bach,BWV1011_02_Allemande_reviewed,68,33,15,8,12
Bach,BWV1011_03_Courante_reviewed,66,32,21,8,5
Bach,BWV1011_04_Sarabande_reviewed,26,15,3,4,4
Bach,BWV1011_05_GavotteI_reviewed,76,30,22,9,15
Bach,BWV1011_06_GavotteII_reviewed,62,11,24,22,5
