mc,mc_onset,timesig,label,root,mc_onset_numeric,timesig_numeric,root_diff,progression_type_simple,progression_type_fine,annotation_dur,prog_weight,bigram_weight
1,0,4/4,g.i{,1,0.0,1.0,,,,,,
1,1/2,4/4,#viio6(2),6,0.5,1.0,5.0,A,WA_dia,0.5,0.625,
1,5/8,4/4,#viio6,6,0.625,1.0,0.0,I,I,0.125,0.25,0.875
1,3/4,4/4,V,2,0.75,1.0,-4.0,S,S_dia,0.125,0.375,0.625
2,0,4/4,V7,2,0.0,1.0,0.0,I,I,0.25,0.75,1.125
2,1/2,4/4,i},1,0.5,1.0,-1.0,S,S_dia,0.5,0.75,1.5
2,3/4,4/4,VI6,-3,0.75,1.0,-4.0,S,S_dia,0.25,0.5,1.25
3,0,4/4,v6(2),2,0.0,1.0,5.0,A,WA_dia,0.25,0.5,1.0
3,1/4,4/4,v6,2,0.25,1.0,0.0,I,I,0.25,0.375,0.875
3,3/8,4/4,V,2,0.375,1.0,0.0,I,I,0.125,0.25,0.625
3,1/2,4/4,iv6(2),0,0.5,1.0,-2.0,A,WA_dia,0.125,0.5625,0.8125
3,15/16,4/4,iv6,0,0.9375,1.0,0.0,I,I,0.4375,0.5,1.0625
4,0,4/4,V(4),2,0.0,1.0,2.0,A,WA_dia,0.0625,0.1875,0.6875
4,1/8,4/4,V,2,0.125,1.0,0.0,I,I,0.125,0.375,0.5625
4,3/8,4/4,V7,2,0.375,1.0,0.0,I,I,0.25,0.375,0.75
4,1/2,4/4,i,1,0.5,1.0,-1.0,S,S_dia,0.125,0.5,0.875
4,7/8,4/4,v.iv7,1,0.875,1.0,0.0,I,I,0.375,0.5,1.0
5,0,4/4,V6,3,0.0,1.0,2.0,A,WA_dia,0.125,0.375,0.875
5,1/4,4/4,i,2,0.25,1.0,-1.0,S,S_dia,0.25,0.5,0.875
5,1/2,4/4,bII6(2),-3,0.5,1.0,-5.0,A,WA_dia,0.25,0.375,0.875
5,5/8,4/4,bII6,-3,0.625,1.0,0.0,I,I,0.125,0.5,0.875
6,0,4/4,V2,3,0.0,1.0,6.0,S,S_chr,0.375,0.625,1.125
6,1/4,4/4,i6,2,0.25,1.0,-1.0,S,S_dia,0.25,0.5,1.125
6,1/2,4/4,#viio6(2),7,0.5,1.0,5.0,A,WA_dia,0.25,0.5,1.0
6,3/4,4/4,V43,3,0.75,1.0,-4.0,S,S_dia,0.25,0.5,1.0
7,0,4/4,i(4),2,0.0,1.0,-1.0,S,S_dia,0.25,0.5,1.0
7,1/4,4/4,i,2,0.25,1.0,0.0,I,I,0.25,0.375,0.875
