mc,mc_onset,timesig,label,root,mc_onset_numeric,timesig_numeric,root_diff,progression_type_simple,annotation_dur,prog_weight,bigram_prog_weight,3-gram_progs,3-gram_weight
1,0,12/8,A.I{,3.0,0.0,1.5,,,0.5625,,,,
1,3/8,12/8,V7,4.0,0.375,1.5,1.0,W,0.5625,1.125,,,
1,3/4,12/8,I,3.0,0.75,1.5,-1.0,S,0.5625,1.125,2.25,,2.25
1,9/8,12/8,V7,4.0,1.125,1.5,1.0,W,-0.1875,0.375,1.5,"(1, -1, 1)",1.5
2,0,12/8,I,3.0,0.0,1.5,-1.0,S,0.5625,0.375,0.75,"(-1, 1, -1)",0.75
2,3/8,12/8,V,4.0,0.375,1.5,1.0,W,0.5625,1.125,1.5,"(1, -1, 1)",1.5
2,3/4,12/8,I,3.0,0.75,1.5,-1.0,S,0.5625,1.125,2.25,"(-1, 1, -1)",2.25
2,9/8,12/8,I6,3.0,1.125,1.5,0.0,I,-0.1875,0.375,1.5,"(1, -1, 0)",1.5
3,0,12/8,I}{,3.0,0.0,1.5,0.0,I,2.0625,1.875,2.25,"(-1, 0, 0)",2.25
3,11/8,12/8,IV,2.0,1.375,1.5,-1.0,S,-0.5625,1.5,3.375,"(0, 0, -1)",3.375
4,0,12/8,I6,3.0,0.0,1.5,1.0,W,0.9375,0.375,1.875,"(0, -1, 1)",1.875
4,5/8,12/8,IV,2.0,0.625,1.5,-1.0,S,0.1875,1.125,1.5,"(-1, 1, -1)",1.5
4,3/4,12/8,V,4.0,0.75,1.5,2.0,A,0.9375,1.125,2.25,"(1, -1, 2)",2.25
4,11/8,12/8,I,3.0,1.375,1.5,-1.0,S,-0.5625,0.375,1.5,"(-1, 2, -1)",1.5
5,0,12/8,V6,4.0,0.0,1.5,1.0,W,0.9375,0.375,0.75,"(2, -1, 1)",0.75
5,5/8,12/8,V,4.0,0.625,1.5,0.0,I,0.1875,1.125,1.5,"(-1, 1, 0)",1.5
5,3/4,12/8,I}{,3.0,0.75,1.5,-1.0,S,0.9375,1.125,2.25,"(1, 0, -1)",2.25
5,11/8,12/8,IV,2.0,1.375,1.5,-1.0,S,-0.5625,0.375,1.5,"(0, -1, -1)",1.5
6,0,12/8,V65/IV,3.0,0.0,1.5,1.0,W,0.9375,0.375,0.75,"(-1, -1, 1)",0.75
6,5/8,12/8,V/IV,3.0,0.625,1.5,0.0,I,0.1875,1.125,1.5,"(-1, 1, 0)",1.5
6,3/4,12/8,IV,2.0,0.75,1.5,-1.0,S,0.5625,0.75,1.875,"(1, 0, -1)",1.875
6,9/8,12/8,IV6,2.0,1.125,1.5,0.0,I,-0.1875,0.375,1.125,"(0, -1, 0)",1.125
7,0,12/8,V.viio,9.0,0.0,1.5,7.0,I,0.5625,0.375,0.75,"(-1, 0, 7)",0.75
7,3/8,12/8,V6,5.0,0.375,1.5,-4.0,S,0.375,0.9375,1.3125,"(0, 7, -4)",1.3125
7,5/8,12/8,V7,5.0,0.625,1.5,0.0,I,0.1875,0.5625,1.5,"(7, -4, 0)",1.5
