mc	mn	mc_onset	mn_onset	label	chord	root	root_change	progression_strength
1	1	0	0	A.I{	I	3		
1	1	3/8	3/8	V7	V7	4	1.0	W
1	1	3/4	3/4	I	I	3	-1.0	S
1	1	9/8	9/8	V7	V7	4	1.0	W
2	2	0	0	I	I	3	-1.0	S
2	2	3/8	3/8	V	V	4	1.0	W
2	2	3/4	3/4	I	I	3	-1.0	S
2	2	9/8	9/8	I6	I6	3	0.0	I
3	3	0	0	I}{	I	3	0.0	I
3	3	11/8	11/8	IV	IV	2	-1.0	S
4	4	0	0	I6	I6	3	1.0	W
4	4	5/8	5/8	IV	IV	2	-1.0	S
4	4	3/4	3/4	V	V	4	2.0	A
4	4	11/8	11/8	I	I	3	-1.0	S
5	5	0	0	V6	V6	4	1.0	W
5	5	5/8	5/8	V	V	4	0.0	I
5	5	3/4	3/4	I}{	I	3	-1.0	S
5	5	11/8	11/8	IV	IV	2	-1.0	S
6	6	0	0	V65/IV	V65/IV	3	1.0	W
6	6	5/8	5/8	V/IV	V/IV	3	0.0	I
6	6	3/4	3/4	IV	IV	2	-1.0	S
6	6	9/8	9/8	IV6	IV6	2	0.0	I
7	7	0	0	V.viio	viio	9	7.0	I
7	7	3/8	3/8	V6	V6	5	-4.0	S
7	7	5/8	5/8	V7	V7	5	0.0	I
7	7	3/4	3/4	I	I	4	-1.0	S
7	7	11/8	11/8	IV	IV	3	-1.0	S
8	8	0	0	I6	I6	4	1.0	W
8	8	3/8	3/8	ii65	ii65	6	2.0	A
8	8	3/4	3/4	V	V	5	-1.0	S
8	8	9/8	9/8	V6	V6	5	0.0	I
8	8	11/8	11/8	V7	V7	5	0.0	I
9	9	0	0	I(9)	I(9)	4	-1.0	S
9	9	1/8	1/8	I6	I6	4	0.0	I
9	9	1/4	1/4	IVM7	IVM7	3	-1.0	S
9	9	3/8	3/8	V(4)	V(4)	5	2.0	A
9	9	5/8	5/8	V	V	5	0.0	I
9	9	3/4	3/4	I[I|PAC}{	I	4	-1.0	S
9	9	9/8	9/8	I6	I6	4	0.0	I
9	9	11/8	11/8	IV	IV	3	-1.0	S
10	10	0	0	I	I	4	1.0	W
10	10	1/4	1/4	IV6	IV6	3	-1.0	S
10	10	3/8	3/8	I	I	4	1.0	W
10	10	5/8	5/8	ii6	ii6	6	2.0	A
10	10	3/4	3/4	I]	I	4	-2.0	A
10	10	1	1	IV6	IV6	3	-1.0	S
10	10	9/8	9/8	V(64)	V(64)	5	2.0	A
10	10	11/8	11/8	ii65	ii65	6	1.0	W
11	11	0	0	I6	I6	4	-2.0	A
11	11	1/4	1/4	IV	IV	3	-1.0	S
11	11	3/8	3/8	I6	I6	4	1.0	W
11	11	1/2	1/2	V7/IV	V7/IV	4	0.0	I
11	11	3/4	3/4	IV6/IV	IV6/IV	2	-2.0	A
11	11	9/8	9/8	V65/IV	V65/IV	4	2.0	A
12	12	0	0	I.I	I	3	-1.0	S
12	12	3/8	3/8	V7/IV	V7/IV	3	0.0	I
12	12	3/4	3/4	IV6/IV	IV6/IV	1	-2.0	A
12	12	9/8	9/8	V65/IV	V65/IV	3	2.0	A
13	13	0	0	IV(9)	IV(9)	2	-1.0	S
13	13	3/8	3/8	viio	viio	8	6.0	S
13	13	3/4	3/4	vi.V65	V65	7	-1.0	S
13	13	9/8	9/8	i	i	6	-1.0	S
13	13	11/8	11/8	iio64	iio64	8	2.0	A
14	14	0	0	V7	V7	7	-1.0	S
15	15	0	0	VI	VI	2	-5.0	A
15	15	3/8	3/8	V65/VII	V65/VII	5	3.0	S
15	15	3/4	3/4	VII	VII	4	-1.0	S
15	15	9/8	9/8	V65	V65	7	3.0	S
16	16	0	0	i	i	6	-1.0	S
16	16	1/4	1/4	ii%65	ii%65	8	2.0	A
16	16	3/8	3/8	V(4)	V(4)	7	-1.0	S
16	16	5/8	5/8	V(+4)	V(+4)	7	0.0	I
16	16	3/4	3/4	i[i|PAC}{	i	6	-1.0	S
16	16	9/8	9/8	I	I	6	0.0	I
16	16	11/8	11/8	iv	iv	5	-1.0	S
17	17	0	0	I	I	6	1.0	W
17	17	1/4	1/4	iv6	iv6	5	-1.0	S
17	17	3/8	3/8	I	I	6	1.0	W
17	17	5/8	5/8	iio	iio	8	2.0	A
17	17	3/4	3/4	I	I	6	-2.0	A
17	17	1	1	iv	iv	5	-1.0	S
17	17	9/8	9/8	I	I	6	1.0	W
17	17	11/8	11/8	ii%7	ii%7	8	2.0	A
18	18	0	0	I]	I	6	-2.0	A
18	18	1/4	1/4	ii.#viio64	#viio64	10	4.0	W
18	18	3/8	3/8	i6	i6	5	-5.0	A
18	18	5/8	5/8	#viio6	#viio6	10	5.0	A
18	18	3/4	3/4	i	i	5	-5.0	A
18	18	9/8	9/8	i6	i6	5	0.0	I
19	19	0	0	VI	VI	1	-4.0	S
19	19	3/8	3/8	iv	iv	4	3.0	S
19	19	3/4	3/4	ii	ii	7	3.0	S
20	20	0	0	V	V	6	-1.0	S
20	20	3/8	3/8	i	i	5	-1.0	S
20	20	1/2	1/2	V65	V65	6	1.0	W
20	20	3/4	3/4	i6	i6	5	-1.0	S
20	20	11/8	11/8	V65/iv	V65/iv	5	0.0	I
21	21	0	0	iv	iv	4	-1.0	S
21	21	1/4	1/4	iv6	iv6	4	0.0	I
21	21	3/8	3/8	i64	i64	5	1.0	W
21	21	1/2	1/2	ii%65/iv	ii%65/iv	6	1.0	W
21	21	3/4	3/4	i6	i6	5	-1.0	S
21	21	1	1	iv	iv	4	-1.0	S
21	21	9/8	9/8	V	V	6	2.0	A
22	22	0	0	I.V6/V|EC}{	V6/V	5	-1.0	S
22	22	5/8	5/8	V	V	4	-1.0	S
22	22	3/4	3/4	V64/V	V64/V	5	1.0	W
22	22	1	1	V2/V	V2/V	5	0.0	I
22	22	9/8	9/8	V6	V6	4	-1.0	S
22	22	11/8	11/8	viio6/V	viio6/V	9	5.0	A
23	23	0	0	V	V	4	-5.0	A
23	23	1/4	1/4	V6	V6	4	0.0	I
23	23	3/8	3/8	vi7	vi7	6	2.0	A
23	23	5/8	5/8	ii	ii	5	-1.0	S
23	23	3/4	3/4	V7	V7	4	-1.0	S
23	23	1	1	I	I	3	-1.0	S
23	23	9/8	9/8	V65/V	V65/V	5	2.0	A
24	24	0	0	V	V	4	-1.0	S
24	24	3/8	3/8	V6	V6	4	0.0	I
24	24	3/4	3/4	V	V	4	0.0	I
24	24	1	1	V6	V6	4	0.0	I
24	24	9/8	9/8	I	I	3	-1.0	S
24	24	5/4	5/4	V65	V65	4	1.0	W
25	25	0	0	I	I	3	-1.0	S
25	25	3/8	3/8	I6	I6	3	0.0	I
25	25	3/4	3/4	I	I	3	0.0	I
25	25	1	1	I6	I6	3	0.0	I
25	25	9/8	9/8	IV	IV	2	-1.0	S
25	25	5/4	5/4	V65/IV	V65/IV	3	1.0	W
26	26	0	0	IV	IV	2	-1.0	S
26	26	3/8	3/8	IV6	IV6	2	0.0	I
26	26	3/4	3/4	IV	IV	2	0.0	I
26	26	9/8	9/8	ii7	ii7	5	3.0	S
27	27	0	0	V7	V7	4	-1.0	S
27	27	3/8	3/8	V(64)	V(64)	4	0.0	I
27	27	3/4	3/4	V(4)	V(4)	4	0.0	I
27	27	9/8	9/8	V	V	4	0.0	I
27	27	5/4	5/4	I64	I64	3	-1.0	S
27	27	11/8	11/8	IV	IV	2	-1.0	S
28	28	0	0	viio/IV	viio/IV	7	5.0	A
28	28	3/8	3/8	V7/IV	V7/IV	3	-4.0	S
28	28	3/4	3/4	IV(9)	IV(9)	2	-1.0	S
28	28	9/8	9/8	IV	IV	2	0.0	I
28	28	5/4	5/4	ii	ii	5	3.0	S
29	29	0	0	V65	V65	4	-1.0	S
29	29	3/8	3/8	I	I	3	-1.0	S
29	29	1/2	1/2	I6	I6	3	0.0	I
29	29	3/4	3/4	IVM65	IVM65	2	-1.0	S
29	29	9/8	9/8	viio	viio	8	6.0	S
30	30	0	0	I(9)	I(9)	3	-5.0	A
30	30	3/8	3/8	V7/IV	V7/IV	3	0.0	I
30	30	3/4	3/4	IVM7	IVM7	2	-1.0	S
30	30	9/8	9/8	V65/V	V65/V	5	3.0	S
31	31	0	0	V|HC}{	V	4	-1.0	S
31	31	1/2	1/2	I6	I6	3	-1.0	S
31	31	3/4	3/4	V65	V65	4	1.0	W
31	31	1	1	I	I	3	-1.0	S
31	31	9/8	9/8	viio	viio	8	5.0	A
31	31	11/8	11/8	vi	vi	6	-2.0	A
32	32	0	0	V7	V7	4	-2.0	A
32	32	1/4	1/4	vi	vi	6	2.0	A
32	32	3/8	3/8	V65	V65	4	-2.0	A
32	32	5/8	5/8	vi6	vi6	6	2.0	A
32	32	3/4	3/4	V7	V7	4	-2.0	A
33	33	0	0	viio	viio	8	4.0	W
33	33	1/4	1/4	V7	V7	4	-4.0	S
33	33	3/8	3/8	I(9)	I(9)	3	-1.0	S
33	33	5/8	5/8	viio/IV	viio/IV	7	4.0	W
33	33	3/4	3/4	IVM7	IVM7	2	-5.0	A
33	33	9/8	9/8	iio6	iio6	5	3.0	S
34	34	0	0	V(b9)	V(b9)	4	-1.0	S
34	34	5/8	5/8	V	V	4	0.0	I
34	34	3/4	3/4	V(64)	V(64)	4	0.0	I
34	34	9/8	9/8	V7(4)	V7(4)	4	0.0	I
34	34	11/8	11/8	V7	V7	4	0.0	I
35	35	0	0	I[I|PAC}{	I	3	-1.0	S
35	35	1/4	1/4	IV	IV	2	-1.0	S
35	35	3/8	3/8	I6	I6	3	1.0	W
35	35	5/8	5/8	ii7	ii7	5	2.0	A
35	35	3/4	3/4	I	I	3	-2.0	A
35	35	1	1	IV6	IV6	2	-1.0	S
35	35	9/8	9/8	I	I	3	1.0	W
35	35	11/8	11/8	ii6	ii6	5	2.0	A
36	36	0	0	I	I	3	-2.0	A
36	36	3/8	3/8	IV6	IV6	2	-1.0	S
36	36	5/8	5/8	I6	I6	3	1.0	W
36	36	3/4	3/4	IV	IV	2	-1.0	S
36	36	5/4	5/4	IV6	IV6	2	0.0	I
36	36	11/8	11/8	V7(9)	V7(9)	4	2.0	A
37	37	0	0	I(64)}	I(64)	3	-1.0	S
37	37	3/4	3/4	I]|PAC	I	3	0.0	I
