mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	12/8	2	1	A.I{					A	I		I	I						{	M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.125	0.25	0.3333333333333333
1	1	3/8	3/8	12/8	2	1	V7					A	I		V7	V		7.0					Mm7	0	0	4, 8, 5, 2		4	4	1	5	0.1666666666666666	0.0625	0.3125	0.1666666666666666
1	1	3/4	3/4	12/8	2	1	I					A	I		I	I							M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.125	0.25	0.3333333333333333
1	1	9/8	9/8	12/8	2	1	V7					A	I		V7	V		7.0					Mm7	0	0	4, 8, 5, 2		4	4	1	5	0.1666666666666666	0.0625	0.3125	0.1666666666666666
2	2	0	0	12/8	2	1	I					A	I		I	I							M	0	0	3, 7, 4		3	3	3	3	0.5	0.1875	0.1875	0.5
2	2	3/8	3/8	12/8	2	1	V					A	I		V	V							M	0	0	4, 8, 5		4	4	1	5	0.1666666666666666	0.0625	0.3125	0.1666666666666666
2	2	3/4	3/4	12/8	2	1	I					A	I		I	I							M	0	0	3, 7, 4		3	3	3	4	0.4285714285714285	0.1875	0.6875	0.2142857142857142
2	2	9/8	9/8	12/8	2	1	I6					A	I		I6	I		6.0					M	0	0	7, 4, 3		3	7	2	7	0.2222222222222222	0.125	1.4375	0.08
3	3	0	0	12/8	2	1	I}{					A	I		I	I						}{	M	0	0	3, 7, 4		3	3	7	11	0.3888888888888889	0.875	2.375	0.2692307692307692
3	3	11/8	11/8	12/8	2	1	IV					A	I		IV	IV							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
4	4	0	0	12/8	2	1	I6					A	I		I6	I		6.0					M	0	0	7, 4, 3		3	7	2	5	0.2857142857142857	0.25	1.0	0.2
4	4	5/8	5/8	12/8	2	1	IV					A	I		IV	IV							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
4	4	3/4	3/4	12/8	2	1	V					A	I		V	V							M	0	0	4, 8, 5		4	4	3	5	0.375	0.375	1.625	0.1875
4	4	11/8	11/8	12/8	2	1	I					A	I		I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
5	5	0	0	12/8	2	1	V6					A	I		V6	V		6.0					M	0	0	8, 5, 4		4	8	4	6	0.4	0.5	1.5	0.25
5	5	5/8	5/8	12/8	2	1	V					A	I		V	V							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
5	5	3/4	3/4	12/8	2	1	I}{					A	I		I	I						}{	M	0	0	3, 7, 4		3	3	3	6	0.3333333333333333	0.375	1.875	0.1666666666666666
5	5	11/8	11/8	12/8	2	1	IV					A	I		IV	IV							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
6	6	0	0	12/8	2	1	V65/IV					A	I		V65/IV	V		65.0		IV			Mm7	0	0	7, 4, 1, 3		3	7	2	8	0.2	0.25	2.0	0.1111111111111111
6	6	5/8	5/8	12/8	2	1	V/IV					A	I		V/IV	V				IV			M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
6	6	3/4	3/4	12/8	2	1	IV					A	I		IV	IV							M	0	0	2, 6, 3		2	2	2	5	0.2857142857142857	0.25	1.625	0.1333333333333333
6	6	9/8	9/8	12/8	2	1	IV6					A	I		IV6	IV		6.0					M	0	0	6, 3, 2		2	6	3	2	0.6	0.375	0.375	0.5
7	7	0	0	12/8	2	1	V.viio					A	V		viio	vii	o						o	0	0	9, 6, 3		9	9	1	4	0.2	0.125	0.625	0.1666666666666666
7	7	3/8	3/8	12/8	2	1	V6					A	V		V6	V		6.0					M	0	0	9, 6, 5		5	9	1	2	0.3333333333333333	0.125	0.375	0.25
7	7	5/8	5/8	12/8	2	1	V7					A	V		V7	V		7.0					Mm7	0	0	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.25	0.0
7	7	3/4	3/4	12/8	2	1	I					A	V		I	I							M	0	0	4, 8, 5		4	4	3	5	0.375	0.375	1.625	0.1875
7	7	11/8	11/8	12/8	2	1	IV	0.0	-8.0	/		A	V		IV	IV							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
